longitude,latitude,intensity
56.3,35.7,42.04
56.3,36.2,42.45
56.3,36.3,41.92
56.3,36.7,37.47
56.3,36.9,34.33
56.4,34.0,36.00
56.4,34.5,44.58
56.4,35.0,46.09
56.4,35.5,40.96
56.4,36.2,41.95
56.4,36.4,40.84
56.4,36.7,37.43
56.5,34.4,42.29
56.5,34.9,45.79
56.5,35.2,41.94
56.5,35.4,40.14
56.5,35.6,40.46
56.5,36.1,42.09
56.6,35.1,41.57
56.6,35.7,39.67
56.6,36.5,39.16
56.7,36.4,39.18
56.8,35.3,36.22
56.8,36.0,38.84
56.8,36.8,35.96
56.8,36.9,34.23
56.9,34.2,36.66
56.9,35.6,35.31
56.9,36.5,38.10
56.9,36.7,36.72
56.9,36.8,35.67
57.0,34.0,34.44
57.0,34.2,36.30
57.0,35.2,33.21
57.0,35.3,33.17
57.0,36.6,37.25
57.0,36.9,33.64
57.1,34.0,34.30
57.1,34.5,36.43
57.1,34.7,35.86
57.1,36.2,36.03
57.1,36.3,36.92
57.1,36.7,35.56
57.2,34.7,33.73
57.2,36.5,36.74
57.2,36.8,34.22
57.2,37.0,31.09
57.3,35.3,29.27
57.3,36.6,35.66
57.3,36.7,34.45
57.3,36.8,33.68
57.4,34.5,33.22
57.4,34.6,32.33
57.4,35.3,28.92
57.4,35.6,29.65
57.4,35.7,29.79
57.4,36.0,33.22
57.4,36.1,33.85
57.4,36.4,36.00
57.4,36.8,33.27
57.5,34.9,29.77
57.5,35.1,28.61
57.5,36.0,32.75
57.5,36.2,34.69
57.5,36.7,34.18
57.5,37.0,31.33
57.6,34.4,33.43
57.6,35.5,28.47
57.6,35.9,31.66
57.6,36.4,35.65
57.7,34.7,31.31
57.7,35.2,28.75
57.7,36.9,32.55
57.8,34.2,35.25
57.8,34.7,31.54
57.8,35.2,29.43
57.8,35.4,29.10
57.8,36.6,34.21
57.9,34.9,31.77
57.9,35.2,30.65
57.9,35.5,30.53
57.9,35.7,31.84
57.9,36.6,34.81
57.9,36.8,33.42
57.9,36.9,33.00
57.9,37.0,32.21
58.0,34.7,33.97
58.0,35.0,32.41
58.0,35.2,31.69
58.0,35.5,31.80
58.0,35.7,33.06
58.0,36.2,36.12
58.0,36.4,35.68
58.0,36.7,34.34
58.1,34.6,35.60
58.1,35.1,33.45
58.1,36.0,36.70
58.1,36.2,36.57
58.1,36.5,35.64
58.1,36.8,34.62
58.2,34.2,37.08
58.2,36.2,37.36
58.2,36.4,36.43
58.2,36.8,35.31
58.3,34.3,37.92
58.3,34.5,38.02
58.3,34.8,37.73
58.3,34.9,36.96
58.3,35.2,35.75
58.3,35.4,36.08
58.3,35.8,37.81
58.3,36.1,38.10
58.3,36.4,36.98
58.4,34.0,38.84
58.4,34.3,39.27
58.4,34.7,39.39
58.4,35.2,37.21
58.4,35.4,37.66
58.4,36.3,38.23
58.4,36.7,36.54
58.5,34.7,40.51
58.5,35.2,38.65
58.5,35.3,38.90
58.5,35.5,39.69
58.5,37.0,34.13
58.6,34.1,39.82
58.6,34.3,41.21
58.6,35.2,40.39
58.6,35.3,40.34
58.6,35.8,41.04
58.6,36.0,40.33
58.6,36.2,39.87
58.6,36.7,37.80
58.6,36.9,35.82
58.7,34.4,42.36
58.7,34.6,42.85
58.7,35.4,42.34
58.7,35.8,41.96
58.7,36.6,38.68
58.7,36.9,35.46
58.8,34.5,43.68
58.8,35.6,43.57
58.8,35.8,42.48
58.8,36.1,41.45
58.9,34.6,44.06
58.9,35.1,43.79
58.9,35.3,44.51
58.9,35.5,44.17
58.9,35.8,43.36
58.9,36.0,42.24
58.9,37.0,34.40
59.0,34.0,41.50
59.0,34.1,42.70
59.0,34.5,44.50
59.0,34.7,44.49
59.0,35.0,44.41
59.0,35.5,45.35
59.0,35.6,44.96
59.0,36.0,43.08
59.0,36.2,42.29
59.0,36.4,41.64
59.0,36.7,38.56
59.1,34.2,44.24
59.1,36.5,41.05
59.1,36.6,40.40
59.2,34.4,45.09
59.2,35.8,44.62
59.2,36.3,42.97
59.2,36.4,42.50
59.3,34.7,45.80
59.3,34.9,46.59
59.3,35.9,45.16
59.3,36.4,42.82
59.3,36.6,40.43
59.4,34.1,44.85
59.4,34.2,45.44
59.4,34.3,45.66
59.4,34.7,46.11
59.4,34.8,47.01
59.4,35.6,46.33
59.4,36.0,45.57
59.5,34.7,46.57
59.5,35.9,46.29
59.5,36.3,43.90
59.5,36.6,40.91
59.6,34.7,47.31
59.6,35.0,48.42
59.6,35.3,48.07
59.6,35.7,46.87
59.6,36.5,42.10
59.7,34.1,45.53
59.7,34.3,46.00
59.7,34.8,48.18
59.7,35.1,48.89
59.7,35.2,48.84
59.7,35.6,47.26
59.7,35.9,47.12
59.7,37.0,37.97
59.8,34.2,45.74
59.8,34.3,46.04
59.8,34.4,46.51
59.8,35.9,47.80
59.9,34.2,46.17
59.9,34.3,46.49
59.9,34.4,46.93
59.9,34.7,48.90
59.9,34.9,49.47
59.9,35.4,48.25
59.9,36.2,45.78
59.9,36.5,42.81
59.9,36.9,39.75
60.0,34.2,45.95
60.0,34.9,50.00
60.0,35.5,48.67
60.0,36.7,41.99
60.0,36.8,41.00
