longitude,latitude,intensity
55.9,36.3,27.12
55.9,36.4,46.93
55.9,36.5,34.94
55.9,36.6,26.94
55.9,36.9,27.35
56.0,34.0,33.00
56.0,34.1,48.58
56.0,34.3,34.50
56.0,34.4,36.19
56.0,34.5,42.72
56.0,34.6,37.57
56.0,34.7,41.66
56.0,35.1,32.60
56.0,35.2,28.70
56.0,35.3,31.97
56.0,35.4,48.06
56.0,35.6,47.81
56.0,35.9,40.23
56.0,36.0,43.03
56.0,36.1,28.81
56.0,36.2,48.81
56.0,36.4,43.91
56.0,36.5,28.60
56.0,36.6,43.42
56.0,36.9,32.36
56.1,34.0,47.65
56.1,34.1,49.49
56.1,34.2,34.93
56.1,34.3,42.73
56.1,34.4,36.16
56.1,34.5,44.59
56.1,34.7,47.05
56.1,34.8,39.76
56.1,34.9,25.21
56.1,35.0,45.08
56.1,35.1,30.28
56.1,35.3,39.67
56.1,35.6,27.89
56.1,35.9,30.78
56.1,36.0,47.42
56.1,36.2,41.68
56.1,36.4,39.35
56.1,36.5,40.33
56.1,36.7,47.38
56.1,36.8,49.48
56.1,36.9,39.84
56.1,37.0,25.54
56.2,34.0,36.10
56.2,34.1,46.07
56.2,34.2,36.60
56.2,34.3,33.27
56.2,34.5,40.74
56.2,34.6,26.30
56.2,34.7,30.66
56.2,34.8,32.13
56.2,34.9,29.78
56.2,35.0,34.03
56.2,35.1,40.08
56.2,35.2,43.10
56.2,35.3,37.06
56.2,35.4,31.93
56.2,35.5,26.31
56.2,35.6,27.97
56.2,35.7,41.52
56.2,35.8,44.47
56.2,36.0,25.05
56.2,36.1,39.08
56.2,36.2,36.00
56.2,36.3,49.76
56.2,36.4,31.03
56.2,36.5,33.75
56.2,36.7,49.21
56.2,36.8,41.08
56.2,36.9,45.00
56.2,37.0,43.48
56.3,34.2,32.21
56.3,34.4,39.62
56.3,34.5,40.86
56.3,34.6,32.48
56.3,34.7,31.80
56.3,34.8,43.82
56.3,35.0,38.89
56.3,35.1,27.11
56.3,35.2,34.69
56.3,35.3,31.74
56.3,35.4,31.20
56.3,35.5,47.03
56.3,35.6,30.51
56.3,35.8,40.55
56.3,35.9,41.05
56.3,36.0,38.98
56.3,36.1,44.37
56.3,36.4,30.57
56.3,36.5,33.30
56.3,36.6,31.99
56.3,36.8,36.82
56.3,37.0,48.50
56.4,34.1,29.22
56.4,34.2,26.74
56.4,34.3,49.29
56.4,34.4,25.89
56.4,34.6,40.13
56.4,34.7,26.48
56.4,34.8,37.21
56.4,34.9,29.61
56.4,35.1,40.93
56.4,35.2,43.47
56.4,35.3,26.45
56.4,35.4,25.85
56.4,35.6,41.11
56.4,35.7,47.11
56.4,35.8,46.32
56.4,35.9,48.19
56.4,36.0,34.89
56.4,36.1,40.15
56.4,36.3,42.93
56.4,36.5,31.48
56.4,36.6,39.16
56.4,36.8,41.97
56.4,36.9,25.89
56.4,37.0,44.53
56.5,34.0,35.18
56.5,34.1,26.67
56.5,34.2,42.54
56.5,34.3,37.69
56.5,34.5,39.91
56.5,34.6,40.78
56.5,34.7,28.97
56.5,34.8,27.28
56.5,35.0,34.47
56.5,35.1,39.50
56.5,35.3,37.55
56.5,35.5,28.59
56.5,35.7,27.38
56.5,35.8,29.19
56.5,35.9,44.50
56.5,36.0,36.77
56.5,36.2,41.52
56.5,36.3,46.28
56.5,36.4,49.68
56.5,36.5,32.01
56.5,36.6,36.72
56.5,36.7,49.04
56.5,36.8,26.00
56.5,36.9,35.94
56.5,37.0,41.40
56.6,34.0,25.52
56.6,34.1,46.91
56.6,34.2,27.46
56.6,34.3,28.67
56.6,34.4,38.34
56.6,34.5,35.33
56.6,34.6,46.38
56.6,34.7,26.47
56.6,34.8,38.16
56.6,34.9,36.28
56.6,35.0,29.50
56.6,35.2,28.16
56.6,35.3,45.87
56.6,35.4,25.24
56.6,35.5,48.44
56.6,35.6,25.90
56.6,35.8,33.55
56.6,35.9,36.73
56.6,36.0,44.33
56.6,36.1,44.47
56.6,36.2,30.56
56.6,36.3,27.98
56.6,36.4,25.23
56.6,36.6,42.07
56.6,36.7,37.68
56.6,36.8,26.60
56.6,36.9,40.64
56.6,37.0,44.99
56.7,34.0,45.11
56.7,34.1,37.77
56.7,34.2,35.73
56.7,34.3,38.64
56.7,34.4,28.97
56.7,34.5,47.06
56.7,34.6,43.02
56.7,34.7,41.77
56.7,34.8,35.69
56.7,34.9,34.77
56.7,35.0,36.35
56.7,35.1,49.56
56.7,35.2,31.06
56.7,35.3,29.50
56.7,35.4,42.91
56.7,35.5,41.47
56.7,35.6,31.17
56.7,35.7,41.27
56.7,35.8,28.57
56.7,35.9,28.10
56.7,36.0,35.40
56.7,36.1,49.58
56.7,36.2,28.23
56.7,36.3,36.18
56.7,36.5,36.61
56.7,36.6,49.67
56.7,36.7,40.50
56.7,36.8,39.89
56.7,36.9,41.38
56.7,37.0,46.18
56.8,34.0,45.62
56.8,34.1,42.34
56.8,34.2,47.66
56.8,34.3,36.80
56.8,34.4,46.67
56.8,34.5,32.80
56.8,34.6,40.18
56.8,34.7,30.74
56.8,34.8,26.51
56.8,34.9,35.23
56.8,35.0,27.63
56.8,35.1,43.61
56.8,35.2,49.19
56.8,35.4,42.31
56.8,35.5,43.04
56.8,35.6,32.56
56.8,35.7,28.75
56.8,35.8,32.94
56.8,35.9,27.81
56.8,36.1,49.34
56.8,36.2,26.18
56.8,36.3,48.45
56.8,36.4,43.01
56.8,36.5,42.96
56.8,36.6,37.49
56.8,36.7,42.12
56.8,37.0,35.99
56.9,34.0,32.31
56.9,34.1,30.66
56.9,34.3,39.18
56.9,34.4,37.61
56.9,34.5,42.38
56.9,34.6,26.50
56.9,34.7,37.57
56.9,34.8,36.43
56.9,34.9,46.69
56.9,35.0,31.84
56.9,35.1,49.11
56.9,35.2,43.75
56.9,35.3,28.38
56.9,35.4,27.88
56.9,35.5,34.33
56.9,35.7,43.67
56.9,35.8,39.81
56.9,35.9,35.69
56.9,36.0,43.42
56.9,36.1,27.11
56.9,36.2,28.74
56.9,36.3,25.95
56.9,36.4,34.38
56.9,36.6,27.17
56.9,36.9,28.17
56.9,37.0,49.55
57.0,34.1,39.73
57.0,34.3,27.97
57.0,34.4,46.11
57.0,34.5,36.36
57.0,34.6,39.51
57.0,34.7,31.28
57.0,34.8,32.81
57.0,34.9,28.04
57.0,35.0,41.51
57.0,35.1,36.34
57.0,35.4,43.92
57.0,35.5,44.55
57.0,35.6,35.88
57.0,35.7,46.70
57.0,35.8,25.67
57.0,35.9,28.07
57.0,36.0,39.57
57.0,36.1,25.06
57.0,36.2,35.18
57.0,36.3,27.14
57.0,36.4,33.90
57.0,36.5,27.52
57.0,36.7,42.45
57.0,36.8,39.10
57.0,37.0,45.05
57.1,34.1,40.42
57.1,34.2,41.88
57.1,34.3,43.93
57.1,34.4,33.01
57.1,34.6,39.08
57.1,34.8,26.12
57.1,34.9,36.27
57.1,35.0,36.83
57.1,35.1,43.26
57.1,35.2,35.90
57.1,35.3,38.99
57.1,35.4,28.42
57.1,35.5,27.28
57.1,35.6,28.82
57.1,35.7,25.54
57.1,35.8,43.91
57.1,35.9,43.58
57.1,36.0,27.64
57.1,36.1,44.75
57.1,36.4,42.53
57.1,36.5,39.55
57.1,36.6,32.00
57.1,36.8,26.81
57.1,36.9,27.39
57.1,37.0,43.54
57.2,34.0,42.24
57.2,34.1,40.90
57.2,34.2,41.52
57.2,34.3,47.21
57.2,34.4,32.83
57.2,34.5,38.73
57.2,34.6,32.96
57.2,34.8,35.12
57.2,34.9,32.97
57.2,35.0,41.66
57.2,35.1,43.43
57.2,35.2,38.16
57.2,35.3,38.93
57.2,35.4,47.69
57.2,35.5,27.69
57.2,35.6,48.34
57.2,35.7,30.86
57.2,35.8,30.10
57.2,35.9,47.61
57.2,36.0,43.60
57.2,36.1,45.37
57.2,36.2,26.50
57.2,36.3,28.05
57.2,36.4,36.03
57.2,36.6,36.19
57.2,36.7,31.45
57.2,36.9,44.09
57.3,34.0,33.84
57.3,34.1,35.35
57.3,34.2,39.09
57.3,34.3,39.85
57.3,34.4,37.64
57.3,34.5,35.62
57.3,34.6,44.38
57.3,34.7,39.15
57.3,34.8,46.99
57.3,34.9,42.98
57.3,35.0,38.29
57.3,35.1,43.60
57.3,35.2,33.03
57.3,35.4,43.64
57.3,35.5,29.20
57.3,35.6,44.48
57.3,35.7,27.19
57.3,35.8,25.01
57.3,35.9,25.43
57.3,36.0,36.90
57.3,36.1,39.62
57.3,36.2,35.29
57.3,36.3,42.49
57.3,36.4,45.83
57.3,36.5,37.69
57.3,36.9,49.37
57.3,37.0,40.46
57.4,34.0,39.42
57.4,34.1,25.16
57.4,34.2,43.12
57.4,34.3,44.48
57.4,34.4,44.80
57.4,34.7,31.20
57.4,34.8,49.54
57.4,34.9,43.30
57.4,35.0,46.63
57.4,35.1,41.76
57.4,35.2,48.79
57.4,35.4,25.90
57.4,35.5,44.51
57.4,35.8,44.84
57.4,35.9,28.98
57.4,36.2,31.79
57.4,36.3,40.85
57.4,36.5,47.69
57.4,36.6,41.68
57.4,36.7,42.67
57.4,36.9,49.19
57.4,37.0,27.21
57.5,34.0,26.07
57.5,34.1,25.97
57.5,34.2,36.47
57.5,34.3,43.83
57.5,34.4,42.41
57.5,34.5,26.23
57.5,34.6,43.83
57.5,34.7,30.81
57.5,34.8,45.40
57.5,35.0,48.59
57.5,35.2,25.75
57.5,35.3,26.99
57.5,35.4,38.57
57.5,35.5,40.36
57.5,35.6,34.81
57.5,35.7,44.25
57.5,35.8,40.85
57.5,35.9,46.59
57.5,36.1,37.01
57.5,36.3,30.15
57.5,36.4,43.02
57.5,36.5,34.94
57.5,36.6,36.74
57.5,36.8,34.47
57.5,36.9,27.55
57.6,34.0,39.70
57.6,34.1,41.20
57.6,34.2,41.71
57.6,34.3,29.66
57.6,34.5,45.44
57.6,34.6,31.94
57.6,34.7,49.62
57.6,34.8,41.19
57.6,34.9,28.58
57.6,35.0,43.88
57.6,35.1,46.77
57.6,35.2,49.08
57.6,35.3,35.16
57.6,35.4,46.09
57.6,35.6,29.86
57.6,35.7,25.99
57.6,35.8,26.02
57.6,36.0,29.74
57.6,36.1,26.40
57.6,36.2,49.47
57.6,36.3,33.34
57.6,36.5,33.18
57.6,36.6,48.70
57.6,36.7,29.15
57.6,36.8,27.03
57.6,36.9,32.62
57.6,37.0,29.45
57.7,34.0,45.67
57.7,34.1,44.83
57.7,34.2,25.30
57.7,34.3,25.21
57.7,34.4,48.49
57.7,34.5,30.35
57.7,34.6,36.52
57.7,34.8,47.32
57.7,34.9,31.06
57.7,35.0,33.57
57.7,35.1,40.57
57.7,35.3,37.68
57.7,35.4,41.47
57.7,35.5,27.57
57.7,35.6,43.76
57.7,35.7,33.72
57.7,35.8,42.16
57.7,35.9,37.35
57.7,36.0,30.08
57.7,36.1,47.05
57.7,36.2,32.77
57.7,36.3,37.15
57.7,36.4,47.86
57.7,36.5,36.71
57.7,36.6,26.48
57.7,36.7,43.69
57.7,36.8,41.45
57.7,37.0,26.35
57.8,34.0,36.73
57.8,34.1,26.80
57.8,34.3,45.07
57.8,34.4,33.02
57.8,34.5,35.90
57.8,34.6,27.61
57.8,34.8,37.59
57.8,34.9,38.37
57.8,35.0,49.88
57.8,35.1,30.57
57.8,35.3,26.21
57.8,35.5,37.05
57.8,35.6,31.23
57.8,35.7,26.99
57.8,35.8,40.84
57.8,35.9,41.11
57.8,36.0,34.89
57.8,36.1,40.56
57.8,36.2,31.53
57.8,36.3,36.84
57.8,36.4,37.70
57.8,36.5,38.77
57.8,36.7,32.69
57.8,36.8,29.33
57.8,36.9,37.31
57.8,37.0,37.55
57.9,34.0,33.09
57.9,34.1,31.36
57.9,34.2,38.97
57.9,34.3,33.82
57.9,34.4,34.00
57.9,34.5,28.31
57.9,34.6,40.39
57.9,34.7,47.28
57.9,34.8,40.19
57.9,35.0,38.98
57.9,35.1,40.54
57.9,35.3,49.34
57.9,35.4,36.11
57.9,35.6,38.26
57.9,35.8,39.36
57.9,35.9,26.62
57.9,36.0,47.22
57.9,36.1,27.61
57.9,36.2,38.84
57.9,36.3,32.59
57.9,36.4,47.80
57.9,36.5,48.32
57.9,36.7,34.58
58.0,34.0,45.18
58.0,34.1,45.06
58.0,34.2,26.85
58.0,34.3,36.26
58.0,34.4,29.42
58.0,34.5,29.33
58.0,34.6,37.15
58.0,34.8,35.99
58.0,34.9,34.86
58.0,35.1,36.49
58.0,35.3,33.97
58.0,35.4,45.51
58.0,35.6,41.07
58.0,35.8,35.51
58.0,35.9,42.76
58.0,36.0,37.44
58.0,36.1,29.28
58.0,36.3,36.39
58.0,36.5,34.68
58.0,36.6,31.25
58.0,36.8,40.79
58.0,36.9,33.19
58.0,37.0,30.34
58.1,34.0,39.57
58.1,34.1,37.13
58.1,34.2,41.11
58.1,34.3,26.75
58.1,34.4,25.81
58.1,34.5,40.44
58.1,34.7,46.65
58.1,34.8,32.65
58.1,34.9,32.60
58.1,35.0,47.78
58.1,35.2,39.22
58.1,35.3,44.81
58.1,35.4,45.87
58.1,35.5,31.28
58.1,35.6,31.49
58.1,35.7,43.20
58.1,35.8,27.10
58.1,35.9,44.36
58.1,36.1,38.07
58.1,36.3,39.45
58.1,36.4,45.94
58.1,36.6,29.67
58.1,36.7,25.41
58.1,36.9,30.10
58.1,37.0,35.97
58.2,34.0,40.13
58.2,34.1,43.55
58.2,34.3,42.59
58.2,34.4,45.94
58.2,34.5,34.63
58.2,34.6,46.69
58.2,34.7,30.23
58.2,34.8,33.27
58.2,34.9,46.71
58.2,35.0,47.53
58.2,35.1,36.45
58.2,35.2,31.46
58.2,35.3,36.10
58.2,35.4,41.15
58.2,35.5,34.39
58.2,35.6,47.90
58.2,35.7,38.34
58.2,35.8,33.72
58.2,35.9,36.83
58.2,36.0,30.40
58.2,36.1,33.96
58.2,36.3,47.18
58.2,36.5,37.83
58.2,36.6,28.05
58.2,36.7,47.91
58.2,36.9,30.66
58.2,37.0,37.09
58.3,34.0,42.02
58.3,34.1,26.68
58.3,34.2,25.84
58.3,34.4,38.62
58.3,34.6,46.79
58.3,34.7,35.43
58.3,35.0,29.22
58.3,35.1,39.76
58.3,35.3,48.66
58.3,35.5,25.37
58.3,35.6,40.40
58.3,35.7,30.37
58.3,35.9,43.38
58.3,36.0,41.42
58.3,36.2,46.63
58.3,36.3,44.52
58.3,36.5,44.72
58.3,36.6,48.92
58.3,36.7,29.34
58.3,36.8,46.25
58.3,36.9,41.70
58.3,37.0,31.51
58.4,34.1,45.39
58.4,34.2,34.39
58.4,34.4,28.79
58.4,34.5,34.58
58.4,34.6,34.17
58.4,34.8,49.00
58.4,34.9,33.95
58.4,35.0,35.34
58.4,35.1,25.69
58.4,35.3,44.57
58.4,35.5,47.45
58.4,35.6,25.03
58.4,35.7,49.70
58.4,35.8,33.99
58.4,35.9,28.97
58.4,36.0,44.48
58.4,36.1,27.45
58.4,36.2,48.59
58.4,36.4,44.72
58.4,36.5,46.89
58.4,36.6,48.66
58.4,36.8,29.70
58.4,36.9,35.11
58.4,37.0,48.56
58.5,34.0,27.49
58.5,34.1,41.29
58.5,34.2,35.57
58.5,34.3,44.31
58.5,34.4,25.40
58.5,34.5,49.10
58.5,34.6,38.86
58.5,34.8,45.83
58.5,34.9,42.45
58.5,35.0,39.91
58.5,35.1,44.70
58.5,35.4,32.68
58.5,35.6,45.71
58.5,35.7,29.69
58.5,35.8,47.91
58.5,35.9,31.34
58.5,36.0,41.48
58.5,36.1,30.59
58.5,36.2,42.55
58.5,36.3,28.86
58.5,36.4,27.19
58.5,36.5,44.30
58.5,36.6,42.78
58.5,36.7,41.46
58.5,36.8,36.57
58.5,36.9,38.06
58.6,34.0,38.94
58.6,34.2,45.89
58.6,34.4,42.03
58.6,34.5,37.50
58.6,34.6,39.63
58.6,34.7,39.54
58.6,34.8,46.27
58.6,34.9,34.35
58.6,35.0,35.76
58.6,35.1,33.55
58.6,35.4,32.63
58.6,35.5,26.42
58.6,35.6,41.80
58.6,35.7,35.20
58.6,35.9,27.87
58.6,36.1,37.89
58.6,36.3,39.53
58.6,36.4,28.80
58.6,36.5,47.95
58.6,36.6,33.26
58.6,36.8,46.12
58.6,37.0,46.99
58.7,34.0,47.84
58.7,34.1,48.26
58.7,34.2,26.42
58.7,34.3,49.50
58.7,34.5,46.10
58.7,34.7,31.30
58.7,34.8,33.83
58.7,34.9,44.00
58.7,35.0,41.49
58.7,35.1,46.82
58.7,35.2,29.68
58.7,35.3,40.64
58.7,35.5,41.81
58.7,35.6,41.44
58.7,35.7,40.25
58.7,35.9,32.21
58.7,36.0,37.50
58.7,36.1,37.63
58.7,36.2,38.82
58.7,36.3,45.56
58.7,36.4,40.55
58.7,36.5,33.54
58.7,36.7,27.76
58.7,36.8,49.82
58.7,37.0,36.76
58.8,34.0,47.62
58.8,34.1,32.22
58.8,34.2,36.90
58.8,34.3,39.01
58.8,34.4,38.64
58.8,34.6,46.41
58.8,34.7,30.19
58.8,34.8,36.74
58.8,34.9,33.38
58.8,35.0,29.66
58.8,35.1,44.57
58.8,35.2,29.91
58.8,35.3,30.51
58.8,35.4,41.33
58.8,35.5,37.71
58.8,35.7,33.97
58.8,35.9,46.03
58.8,36.0,42.31
58.8,36.2,39.03
58.8,36.3,29.06
58.8,36.4,28.84
58.8,36.5,37.81
58.8,36.6,47.35
58.8,36.7,38.97
58.8,36.8,48.79
58.8,36.9,43.87
58.8,37.0,25.19
58.9,34.0,48.60
58.9,34.1,46.84
58.9,34.2,38.71
58.9,34.3,37.43
58.9,34.4,30.85
58.9,34.5,49.37
58.9,34.7,33.59
58.9,34.8,28.13
58.9,34.9,45.09
58.9,35.0,42.93
58.9,35.2,25.48
58.9,35.4,35.07
58.9,35.6,25.45
58.9,35.7,39.46
58.9,35.9,30.35
58.9,36.1,40.74
58.9,36.2,47.21
58.9,36.3,31.26
58.9,36.4,37.04
58.9,36.5,48.74
58.9,36.6,34.97
58.9,36.7,38.35
58.9,36.8,26.67
58.9,36.9,37.33
59.0,34.2,44.28
59.0,34.3,45.66
59.0,34.4,35.39
59.0,34.6,41.88
59.0,34.8,39.61
59.0,34.9,34.81
59.0,35.1,40.87
59.0,35.2,25.26
59.0,35.3,26.14
59.0,35.4,44.83
59.0,35.7,25.46
59.0,35.8,38.84
59.0,35.9,33.46
59.0,36.1,39.18
59.0,36.3,38.52
59.0,36.5,26.14
59.0,36.6,49.21
59.0,36.8,33.33
59.0,36.9,29.48
59.0,37.0,25.58
59.1,34.0,38.43
59.1,34.1,48.26
59.1,34.3,30.98
59.1,34.4,30.36
59.1,34.5,44.72
59.1,34.6,39.75
59.1,34.7,42.83
59.1,34.8,36.98
59.1,34.9,29.32
59.1,35.0,29.38
59.1,35.1,29.64
59.1,35.2,48.96
59.1,35.3,40.79
59.1,35.4,37.55
59.1,35.5,29.95
59.1,35.6,31.93
59.1,35.7,41.75
59.1,35.8,44.94
59.1,35.9,41.40
59.1,36.0,29.10
59.1,36.1,38.01
59.1,36.2,47.41
59.1,36.3,42.16
59.1,36.4,47.85
59.1,36.7,26.84
59.1,36.8,34.43
59.1,36.9,41.76
59.1,37.0,48.81
59.2,34.0,44.06
59.2,34.1,29.48
59.2,34.2,43.13
59.2,34.3,27.38
59.2,34.5,35.64
59.2,34.6,41.13
59.2,34.7,29.15
59.2,34.8,27.69
59.2,34.9,47.73
59.2,35.0,31.12
59.2,35.1,27.22
59.2,35.2,27.42
59.2,35.3,46.96
59.2,35.4,32.56
59.2,35.5,32.49
59.2,35.6,35.31
59.2,35.7,33.86
59.2,35.9,29.60
59.2,36.0,39.91
59.2,36.1,44.30
59.2,36.2,27.96
59.2,36.5,25.96
59.2,36.6,48.01
59.2,36.7,45.02
59.2,36.8,35.16
59.2,36.9,34.18
59.2,37.0,47.89
59.3,34.0,38.58
59.3,34.1,49.99
59.3,34.2,30.87
59.3,34.3,40.66
59.3,34.4,28.45
59.3,34.5,37.83
59.3,34.6,26.08
59.3,34.8,43.76
59.3,35.0,37.11
59.3,35.1,31.83
59.3,35.2,28.87
59.3,35.3,46.96
59.3,35.4,45.75
59.3,35.5,35.56
59.3,35.6,45.30
59.3,35.7,46.71
59.3,35.8,27.76
59.3,36.0,49.05
59.3,36.1,29.37
59.3,36.2,27.02
59.3,36.3,48.00
59.3,36.5,31.71
59.3,36.7,41.95
59.3,36.8,40.62
59.3,36.9,29.19
59.3,37.0,29.48
59.4,34.0,37.68
59.4,34.4,45.13
59.4,34.5,37.44
59.4,34.6,44.36
59.4,34.9,43.16
59.4,35.0,42.01
59.4,35.1,27.98
59.4,35.2,46.81
59.4,35.3,27.49
59.4,35.4,27.91
59.4,35.5,47.86
59.4,35.7,30.58
59.4,35.8,44.28
59.4,35.9,29.79
59.4,36.1,40.61
59.4,36.2,27.70
59.4,36.3,43.99
59.4,36.4,36.55
59.4,36.5,41.88
59.4,36.6,27.24
59.4,36.7,37.61
59.4,36.8,34.05
59.4,36.9,40.97
59.4,37.0,32.50
59.5,34.0,36.07
59.5,34.1,40.97
59.5,34.2,31.07
59.5,34.3,46.06
59.5,34.4,42.34
59.5,34.5,30.89
59.5,34.6,26.70
59.5,34.8,41.85
59.5,34.9,46.72
59.5,35.0,34.90
59.5,35.1,37.65
59.5,35.2,49.25
59.5,35.3,26.87
59.5,35.4,26.67
59.5,35.5,37.49
59.5,35.6,45.42
59.5,35.7,44.31
59.5,35.8,28.34
59.5,36.0,32.93
59.5,36.1,36.88
59.5,36.2,46.88
59.5,36.4,44.37
59.5,36.5,32.20
59.5,36.7,44.63
59.5,36.8,40.04
59.5,36.9,46.91
59.5,37.0,28.35
59.6,34.0,32.53
59.6,34.1,25.47
59.6,34.2,44.83
59.6,34.3,28.93
59.6,34.4,45.98
59.6,34.5,43.64
59.6,34.6,35.79
