A,B,C,D,E,F,target
1.662,II,3,0.619,0.181,0.914,44.56
-0.577,III,5,0.028,0.642,0.105,39.77
-1.787,III,2,0.089,2.34,1.172,53.47
0.456,II,4,0.311,1.059,1.007,31.13
-0.75,II,4,0.646,0.136,2.921,24.96
0.726,II,3,0.365,1.508,-0.388,34.43
1.792,II,0,0.12,1.119,-1.123,36.17
-0.558,II,5,0.649,0.112,2.085,23.8
-1.012,II,1,0.522,4.579,-0.056,39.09
-1.788,I,4,0.495,0.462,0.824,63.4
1.327,II,5,0.051,0.971,0.744,38.1
-1.686,III,3,0.35,0.183,0.537,46.41
1.809,II,4,0.081,0.031,0.44,40.88
0.825,III,0,0.359,0.18,-2.832,26.0
1.646,II,0,0.637,0.025,-1.079,39.69
1.258,II,4,0.598,0.24,-0.14,30.27
-1.237,II,6,0.483,0.767,0.385,37.36
-1.296,III,5,0.324,0.855,0.779,54.16
1.846,II,3,0.688,0.694,0.487,45.47
-0.836,II,4,0.692,1.625,3.812,39.55
1.162,II,3,0.337,2.145,-1.634,39.35
-1.317,III,2,0.056,0.387,0.751,37.17
-0.804,II,4,0.585,0.156,0.779,27.81
0.694,I,3,0.018,1.801,0.962,54.93
-1.006,III,1,0.509,1.26,0.34,39.78
1.007,II,2,0.16,0.997,0.646,33.55
1.517,II,3,0.373,0.733,0.654,44.97
-0.719,II,4,0.083,0.892,0.36,32.68
-0.805,II,4,0.16,0.38,1.613,27.45
-1.889,II,1,0.015,0.899,-0.279,44.16
-0.309,III,5,0.023,0.44,-0.351,38.92
-1.738,II,2,0.231,0.151,2.118,38.06
0.299,II,4,0.207,2.363,1.399,40.76
0.752,II,6,0.948,0.117,-1.508,13.41
0.273,II,2,0.821,0.731,0.177,25.86
0.415,I,3,0.453,0.455,-0.668,43.18
0.399,III,1,0.303,0.016,-2.227,26.5
1.611,III,2,0.654,0.1,0.398,48.51
0.124,III,3,0.944,0.531,-0.012,37.77
1.446,III,6,0.541,0.316,1.121,54.24
-0.592,II,5,0.143,0.784,-0.416,27.89
-1.437,III,4,0.384,1.355,0.733,48.99
-1.112,III,4,0.451,1.58,1.415,59.84
1.173,III,2,0.221,0.865,0.97,46.2
-1.081,III,6,0.091,0.017,1.828,41.65
1.09,III,2,0.501,0.094,3.26,54.24
1.611,III,4,0.379,1.647,3.235,84.73
0.178,III,1,0.49,1.102,-1.022,35.04
-1.427,III,1,1.33,0.957,0.516,48.44
0.494,II,2,0.537,1.993,0.477,34.99
-0.482,II,2,0.533,1.544,-1.426,30.05
1.634,I,4,0.537,0.029,0.876,65.34
-1.105,II,2,0.831,1.206,-0.051,38.56
-1.063,III,5,0.196,0.561,1.483,42.89
-0.071,II,1,1.238,0.442,-0.954,26.77
-0.026,II,7,0.349,0.034,-1.074,11.36
-1.249,II,1,0.0,0.805,0.175,39.08
-0.503,II,2,0.871,1.225,1.762,29.93
0.673,II,3,0.44,3.748,-0.165,48.98
-0.118,II,4,0.202,0.857,0.234,28.19
-1.761,II,3,0.268,6.294,2.503,64.56
-0.339,II,2,0.389,0.211,-1.226,23.84
-0.337,III,1,0.418,0.108,4.085,39.38
-0.21,III,0,0.348,0.657,0.765,29.27
-1.905,II,1,0.009,0.179,-2.126,53.4
-0.904,II,2,1.057,0.999,0.332,34.13
1.802,I,4,1.024,1.06,-0.64,64.09
1.532,II,7,0.026,0.725,0.181,37.45
1.763,II,3,0.135,0.386,-0.222,44.63
1.036,III,2,0.285,1.394,0.69,48.63
-0.264,III,4,1.103,0.294,2.093,36.3
1.75,III,5,0.087,3.064,-0.832,77.98
-0.797,II,2,0.576,1.423,2.19,38.94
0.373,III,1,0.128,0.874,-0.137,32.13
0.35,III,1,0.019,0.027,-3.851,22.45
-0.237,II,2,0.24,0.105,0.073,23.61
-0.999,III,0,0.751,1.181,-0.201,36.18
-0.678,II,4,0.012,0.517,-0.628,29.26
0.572,I,4,0.267,0.54,0.571,53.64
-0.864,III,7,0.35,3.192,1.365,91.78
-0.615,III,1,0.386,1.296,0.494,38.34
-0.584,II,5,0.393,0.197,1.756,25.06
-0.701,II,2,0.017,1.356,0.633,35.92
1.314,III,3,0.816,2.092,1.368,64.32
0.183,I,4,0.427,0.357,0.499,54.39
-1.927,III,3,0.031,2.036,0.397,70.0
0.966,III,1,0.163,0.811,5.632,57.11
0.009,II,3,0.172,1.117,0.164,30.08
1.116,II,3,0.044,0.465,1.414,38.1
-0.022,III,0,0.101,2.086,-0.855,29.46
-0.757,III,2,1.237,1.192,-0.259,36.61
1.357,II,0,0.06,0.75,-1.774,28.77
-1.307,II,3,0.404,0.913,0.96,38.14
-0.887,III,5,0.505,3.407,-4.11,80.64
-0.063,III,2,0.196,0.623,-5.263,25.24
1.439,II,3,0.095,0.002,-0.798,27.39
-1.539,II,1,0.765,0.018,-1.129,38.91
-0.645,I,3,0.862,2.171,0.347,53.82
0.129,III,5,0.174,1.275,0.714,51.78
0.713,II,1,0.188,0.056,-3.072,22.94
-1.579,I,3,0.167,3.939,-1.876,76.09
1.021,II,1,0.162,2.28,-0.561,29.13
0.228,II,2,0.169,0.033,1.001,29.51
0.069,I,2,0.368,2.335,2.206,52.53
-0.477,III,4,0.343,0.435,2.232,37.83
-0.741,III,5,0.272,0.044,6.504,34.54
1.562,I,1,0.476,4.437,-0.192,62.71
1.975,III,3,0.007,4.229,1.758,87.85
-1.299,II,1,0.178,5.776,0.52,43.38
-1.154,II,1,0.479,0.477,0.369,39.52
0.668,III,2,0.002,1.2,-4.951,22.88
1.058,I,4,0.573,0.579,0.264,56.84
1.292,II,5,0.751,2.502,0.438,54.21
-0.79,III,6,1.317,0.462,1.356,38.82
-1.164,I,3,0.322,2.279,0.761,67.62
-1.71,III,2,0.35,0.858,4.736,50.09
-0.495,II,3,0.532,1.385,3.377,34.98
0.25,II,5,0.729,0.231,-1.734,16.96
1.49,II,3,0.338,0.143,0.4,35.29
-1.868,III,1,0.044,2.008,0.919,52.14
-1.641,II,6,0.498,0.011,-1.255,32.68
0.613,III,1,0.24,2.149,0.046,34.96
0.685,III,3,0.132,0.786,0.371,37.7
-1.503,III,5,0.561,1.289,0.327,60.86
-1.615,II,6,0.072,0.899,-1.43,44.38
-1.888,II,6,0.737,0.64,1.777,38.89
0.595,III,1,0.122,0.006,-0.636,33.9
-0.881,I,4,0.016,0.85,1.016,56.57
-1.036,II,5,0.795,0.728,0.686,34.47
0.658,II,2,0.129,1.879,0.797,34.49
-1.516,III,2,0.041,0.809,-0.277,49.36
0.146,II,0,0.287,0.469,-0.331,32.32
-1.636,II,7,0.386,0.971,-1.113,44.56
-1.737,II,3,0.676,2.178,0.691,51.75
0.674,II,3,0.209,0.258,0.042,24.21
1.166,II,2,0.497,2.489,0.434,43.58
-0.15,III,2,0.228,0.726,0.16,37.83
-0.391,II,2,0.034,0.259,0.427,24.83
0.806,III,4,0.485,1.158,0.88,53.64
-1.696,I,3,0.35,0.327,3.457,58.41
-0.887,III,0,0.255,0.249,1.012,38.38
1.621,II,1,0.54,0.682,-0.287,38.11
1.796,II,3,1.032,0.675,1.153,53.68
-1.846,II,4,0.228,0.034,0.945,36.46
-1.988,III,2,0.075,0.569,-0.569,52.32
1.072,II,1,0.14,0.535,-0.27,32.24
-0.192,III,8,0.628,0.346,1.596,37.55
1.05,II,4,0.137,0.118,0.062,28.81
0.572,II,5,0.331,0.344,-0.523,23.62
-0.208,I,0,0.042,4.057,-1.073,37.51
0.84,I,1,0.152,0.417,0.377,57.37
0.418,III,5,0.115,0.632,1.319,46.79
-1.937,II,5,0.281,1.945,2.838,49.39
-0.136,II,3,0.403,0.75,0.081,29.44
1.528,II,2,0.386,0.522,1.324,44.56
1.121,I,3,0.437,1.072,-0.688,49.08
0.62,II,5,0.995,0.952,0.017,28.2
0.486,II,5,0.079,0.01,0.705,23.12
1.266,II,4,0.233,0.087,-0.347,29.4
-0.835,II,2,0.49,0.862,0.949,30.82
-0.424,III,1,0.269,3.083,-0.953,41.31
0.523,II,2,0.63,0.054,0.665,29.46
1.284,III,2,0.758,7.316,0.496,76.01
-0.714,II,4,0.429,0.933,0.787,31.68
-1.326,II,3,0.768,1.382,0.592,39.69
-0.911,II,5,0.06,0.164,0.521,25.41
-0.244,II,3,0.498,6.506,0.09,64.22
-1.606,II,5,0.517,2.8,-1.026,69.4
0.513,II,3,0.367,0.494,-0.555,25.88
1.586,II,3,0.322,1.085,-0.067,39.6
-0.631,II,5,0.552,0.133,-4.042,15.55
1.826,II,4,0.534,0.71,-0.296,46.35
-0.321,III,5,0.535,0.24,0.948,39.18
0.143,I,1,0.41,0.608,-0.951,48.46
1.907,II,5,0.203,0.974,1.026,52.97
0.84,III,3,0.706,0.345,0.412,42.56
0.022,II,1,0.217,0.095,1.253,28.09
1.018,I,5,0.249,0.251,0.825,58.97
-0.107,II,1,0.731,0.899,0.478,30.29
0.886,I,3,0.437,0.396,-0.655,49.39
-1.111,III,4,0.32,0.186,0.364,41.16
-1.692,II,0,0.041,0.313,-0.786,46.53
0.397,II,4,1.413,0.513,0.933,26.85
0.095,II,2,0.338,1.323,2.722,34.98
-0.157,III,2,0.215,1.371,1.543,44.46
-1.53,II,0,0.149,0.79,0.626,40.07
1.738,III,4,1.405,1.401,-0.379,52.21
-1.553,II,2,0.954,0.362,2.243,41.61
1.87,II,3,0.062,0.406,-1.541,34.58
-0.728,II,3,0.354,0.381,-0.173,25.09
-0.873,III,3,1.01,0.54,0.707,42.79
1.76,II,1,0.335,1.362,1.621,56.35
1.842,II,3,0.186,0.177,-1.904,28.56
0.803,II,3,0.611,0.025,0.089,24.54
1.821,III,3,0.752,0.517,0.716,58.9
-1.3,II,1,0.308,0.432,1.741,40.24
1.427,II,2,0.555,0.001,0.32,36.1
0.473,I,5,0.044,1.341,-0.308,57.77
-0.818,III,3,0.717,0.465,0.748,38.51
0.386,I,4,1.19,2.767,-0.56,72.67
-1.563,I,2,0.685,0.807,0.129,66.18
1.168,II,4,0.07,0.196,0.614,30.64
0.568,III,2,0.199,0.106,0.116,35.89
-1.572,II,3,0.732,0.02,-2.09,35.84
-1.121,III,3,0.141,0.431,-2.903,43.35
-0.833,III,1,0.167,0.683,0.423,33.96
-0.105,II,3,0.391,0.749,0.689,27.19
-1.077,II,5,0.049,0.139,-0.186,24.73
-0.81,II,4,0.447,2.463,2.904,50.43
0.206,III,1,0.895,1.082,0.349,37.99
-1.412,III,5,1.037,1.305,0.004,55.37
1.013,III,2,1.128,0.98,1.846,51.47
-0.198,III,3,0.09,0.057,1.121,35.24
-0.372,III,1,0.464,0.162,1.251,35.17
0.294,III,3,0.192,0.284,0.152,33.75
-1.369,III,4,0.699,0.522,0.893,45.08
1.566,II,3,0.013,1.678,-1.052,40.52
-1.539,II,3,0.535,0.165,0.531,32.07
0.188,II,4,0.54,0.117,0.704,20.47
1.86,III,0,0.573,0.816,-1.228,46.67
-1.443,III,5,0.823,0.541,1.399,47.67
0.795,II,3,0.329,0.146,2.366,31.34
1.901,II,3,0.261,1.162,0.806,54.33
1.983,III,1,0.766,1.928,1.055,56.13
-0.609,III,1,0.133,0.268,-1.73,31.81
0.503,III,2,0.281,1.295,-0.093,39.64
1.77,II,1,0.295,0.088,0.082,44.66
0.498,III,2,0.71,0.746,0.75,36.08
1.491,II,7,0.178,1.842,-0.216,51.27
0.79,II,1,0.129,1.386,-0.552,28.31
-1.852,I,4,0.923,2.071,-2.545,90.93
-0.618,II,5,0.607,2.527,0.671,47.62
1.575,II,4,0.191,2.168,-0.368,54.16
-0.125,III,2,0.048,0.101,0.565,30.81
-0.264,III,0,0.252,0.869,0.703,30.07
-0.78,II,4,0.225,0.418,1.833,31.17
-1.361,III,2,0.399,1.447,-2.376,43.81
0.675,II,5,0.743,0.27,1.178,26.61
-0.419,III,2,0.014,0.726,-0.831,36.79
1.528,II,5,0.436,3.267,0.259,70.19
-1.827,III,1,0.01,0.42,1.134,45.6
1.497,III,2,0.707,0.305,0.185,46.66
-1.631,III,5,0.284,0.235,0.709,41.49
1.294,III,0,0.188,0.88,0.938,44.38
-0.168,II,6,0.793,1.056,-0.01,31.33
0.961,III,1,0.874,0.364,0.83,41.25
-0.196,II,3,0.595,0.027,0.211,25.87
-1.366,III,0,0.132,1.566,-0.865,40.98
1.793,II,4,0.093,0.348,2.026,49.29
0.57,III,2,0.947,2.398,1.261,42.89
-1.141,II,4,0.612,0.744,-0.843,36.51
0.386,III,2,0.307,0.022,-0.851,26.39
-1.161,III,3,0.247,2.83,0.415,62.67
-0.392,III,1,0.166,0.042,0.444,29.91
0.381,II,1,0.071,1.304,2.367,38.16
0.441,III,5,0.801,1.565,0.022,45.59
-1.568,III,2,0.623,0.189,0.775,40.77
-1.23,II,0,0.299,0.511,0.494,38.63
-0.167,III,4,0.103,5.06,0.298,80.23
0.065,II,5,0.404,0.594,-2.29,19.74
1.429,II,3,0.081,3.11,0.183,47.98
0.307,III,2,0.881,5.809,-1.931,57.69
1.246,I,0,0.636,1.549,-0.126,45.27
-0.521,III,3,0.114,1.152,1.006,41.74
-1.249,II,4,0.063,0.606,2.174,29.5
-0.881,III,4,0.135,0.295,0.318,35.1
-1.9,II,2,0.345,0.043,0.275,46.55
-0.543,II,1,0.895,0.307,2.577,35.99
0.542,I,3,0.12,0.005,-0.395,50.45
1.368,II,6,0.746,1.805,2.569,58.54
-1.061,III,2,0.258,0.546,-1.56,34.32
0.823,II,3,0.294,0.089,0.33,30.33
1.01,II,3,0.346,0.43,-1.293,27.3
0.765,III,2,0.09,0.312,1.291,37.86
1.854,II,3,0.207,0.801,-1.124,35.47
0.32,II,3,0.048,1.68,0.556,34.64
-0.226,II,2,0.76,0.207,0.317,26.64
0.147,I,1,0.224,0.52,1.15,44.18
-1.981,III,1,0.117,0.36,-1.428,56.09
-1.973,II,6,0.097,1.9,0.712,62.32
-0.026,II,2,0.075,0.037,1.308,28.82
-0.494,I,3,0.669,3.434,-0.177,62.58
-1.46,III,2,0.633,0.515,-0.658,46.11
-0.583,III,2,0.158,2.957,0.552,42.97
0.566,II,5,0.157,0.248,1.581,25.36
0.091,II,2,0.716,1.071,0.418,31.51
-0.414,III,4,0.762,1.183,2.586,45.54
1.08,II,5,0.311,0.383,0.546,28.76
-1.787,II,3,0.349,0.709,0.53,43.6
1.545,II,2,1.14,1.228,0.245,47.06
0.717,II,2,0.611,2.854,-2.459,31.73
-0.322,II,2,0.075,1.939,-0.875,32.44
0.767,III,5,0.177,0.185,0.148,32.33
1.757,III,2,0.13,1.174,0.568,60.36
0.619,II,3,0.343,0.308,0.589,29.09
0.673,I,3,0.518,0.204,0.205,54.36
0.808,III,1,0.061,0.745,-0.045,36.84
1.663,III,4,0.378,2.904,2.004,88.31
1.557,II,3,0.548,0.598,3.745,51.1
-0.883,III,4,0.348,0.005,0.649,35.99
-1.91,II,3,0.233,0.739,1.878,41.35
-0.889,II,2,0.219,0.753,0.213,29.39
-0.544,III,1,0.154,2.253,1.34,35.28
-1.01,II,3,0.09,1.103,0.289,34.38
-0.171,III,2,0.012,0.036,0.743,33.53
1.752,II,3,0.219,0.068,1.684,52.07
-1.243,II,4,0.588,0.45,1.776,33.89
-0.474,II,5,0.252,3.361,-0.489,52.67
1.332,III,8,0.207,1.17,1.536,62.67
-1.476,III,3,0.263,1.948,2.421,50.06
-0.59,II,4,0.017,0.313,0.567,24.55
0.204,III,4,0.185,0.802,-0.507,33.92
1.077,II,3,0.051,2.898,-0.697,42.97
1.447,II,3,0.292,0.724,0.995,47.38
-0.976,II,2,1.065,0.186,0.386,33.28
1.809,III,1,0.769,1.503,0.403,58.98
-0.261,III,2,0.056,1.302,-0.295,33.47
-1.476,II,4,0.315,1.09,-0.08,36.75
-1.364,III,1,0.685,0.255,0.925,40.47
-0.251,II,2,0.119,1.543,-3.734,23.77
1.247,II,2,0.663,1.526,-0.086,40.33
-1.724,II,5,0.279,2.043,0.643,56.7
-1.13,II,8,0.642,2.084,-0.279,49.04
1.207,III,2,0.739,0.653,0.422,47.39
1.293,II,0,0.029,0.715,0.439,43.81
-1.2,II,1,0.521,0.24,-2.174,36.15
-1.775,III,1,0.706,0.32,0.796,44.98
0.616,II,4,0.439,0.714,-0.188,29.94
1.176,II,1,0.458,1.353,1.149,41.94
-1.801,II,0,0.106,0.638,-0.049,47.21
0.09,I,4,0.777,1.681,1.557,70.49
-1.433,II,4,0.363,0.058,0.975,27.81
0.403,III,4,0.769,1.138,0.053,44.95
-1.55,III,5,0.116,0.379,0.118,51.86
-1.473,II,3,0.334,1.695,1.048,39.41
0.162,I,4,0.706,2.419,0.563,65.17
1.788,II,3,0.72,0.821,-2.568,33.66
-1.886,II,7,0.411,0.253,2.671,30.94
-1.602,II,6,0.062,0.613,2.57,37.48
-1.192,I,2,0.338,0.497,0.259,58.11
1.259,III,2,0.006,0.329,2.925,55.77
-1.039,II,3,0.552,0.562,1.196,34.79
-0.912,III,1,0.234,1.177,0.34,36.28
-0.283,III,3,0.851,1.797,-0.516,48.78
1.427,III,6,1.189,1.021,4.601,80.83
-0.879,II,2,0.239,1.369,-0.33,30.11
-0.113,II,4,0.548,0.129,0.642,24.89
-0.1,II,4,0.542,1.569,0.071,31.01
-0.002,III,1,0.684,0.237,-0.366,32.68
-0.217,III,1,0.64,0.264,3.35,39.17
1.22,III,4,0.103,1.107,2.318,53.32
-1.2,II,1,0.627,0.072,-1.989,36.65
0.018,II,2,0.418,1.164,2.328,35.81
-1.476,II,2,0.908,1.516,1.037,41.46
1.485,II,7,0.123,1.116,0.983,41.51
-0.3,I,0,0.404,4.367,1.028,38.1
1.992,I,4,0.214,1.72,0.153,82.79
0.653,III,1,0.82,0.1,1.427,41.45
-1.184,II,0,0.24,0.715,0.996,40.55
1.699,II,4,0.103,0.437,-0.4,38.8
-0.826,III,1,0.32,0.015,1.104,34.51
0.554,II,3,0.858,1.308,0.977,31.29
1.061,II,1,0.491,0.394,0.183,34.3
-1.587,III,4,0.572,0.06,1.203,48.39
-1.263,II,3,0.235,1.558,-0.45,35.44
-0.293,III,4,0.812,0.055,0.371,33.26
-0.566,III,6,0.168,0.191,1.959,38.32
-0.736,I,4,0.952,1.279,0.993,58.64
-0.919,III,3,0.63,1.758,1.007,48.07
-0.558,II,2,0.08,0.329,0.554,31.39
1.926,II,2,0.453,0.04,0.88,51.58
-0.166,II,2,0.591,0.035,3.148,30.64
-0.169,III,2,0.843,0.561,0.917,32.88
-0.998,II,3,0.363,0.101,0.824,28.35
-1.241,I,6,0.201,0.133,-0.583,57.89
-0.97,III,3,0.219,1.557,-1.739,47.31
1.543,III,5,0.427,1.275,1.444,72.93
1.545,III,3,1.017,0.791,0.641,46.71
-1.317,III,1,0.329,0.933,-1.56,46.47
-0.414,III,5,0.196,0.985,0.85,44.16
0.322,II,4,0.03,0.712,2.316,35.76
0.214,III,2,0.702,0.634,-1.472,27.55
-1.194,II,2,0.287,0.404,2.731,33.37
-1.753,II,7,0.075,0.753,0.92,36.78
1.187,I,1,0.231,1.89,0.014,48.19
-1.481,III,3,0.271,3.144,-0.996,71.9
-0.41,III,4,0.784,0.624,0.915,34.58
1.049,II,2,0.258,0.688,1.166,34.5
0.741,I,2,0.661,1.227,0.51,56.31
-0.367,II,0,0.501,0.629,-0.518,28.74
1.197,II,1,0.322,1.022,-0.934,35.16
1.973,III,7,0.485,0.263,1.275,58.83
-0.08,III,7,0.363,0.328,1.049,39.68
